seed,condition,promote,winner_index,selected_family,selected_family_rho,reported_trials,actual_trials,winner_validation_ic,winner_holdout_ic,nominal_p,selected_family_max_ic
59,complete_global_manifest,False,44,1,0.25,256,256,0.019924256681825406,0.0013038107721752153,0.0007198763831594546,0.019924256681825406
60,winner_only,True,88,2,0.35,1,256,0.014125646332261066,-0.0010898965104936037,0.007927281306010829,0.014125646332261066
60,selected_family_only,False,88,2,0.35,32,256,0.014125646332261066,-0.0010898965104936037,0.007927281306010829,0.014125646332261066
60,hierarchical_manifest,False,88,2,0.35,256,256,0.014125646332261066,-0.0010898965104936037,0.007927281306010829,0.014125646332261066
60,complete_global_manifest,False,88,2,0.35,256,256,0.014125646332261066,-0.0010898965104936037,0.007927281306010829,0.014125646332261066
61,winner_only,True,94,2,0.35,1,256,0.01165093337851666,-0.0026230816701738728,0.030601600990419118,0.01165093337851666
61,selected_family_only,False,94,2,0.35,32,256,0.01165093337851666,-0.0026230816701738728,0.030601600990419118,0.01165093337851666
61,hierarchical_manifest,False,94,2,0.35,256,256,0.01165093337851666,-0.0026230816701738728,0.030601600990419118,0.01165093337851666
61,complete_global_manifest,False,94,2,0.35,256,256,0.01165093337851666,-0.0026230816701738728,0.030601600990419118,0.01165093337851666
62,winner_only,True,174,5,0.6499999999999999,1,256,0.020290511844738384,-0.01045926809321252,0.00019160691827312272,0.020290511844738384
62,selected_family_only,True,174,5,0.6499999999999999,32,256,0.020290511844738384,-0.01045926809321252,0.00019160691827312272,0.020290511844738384
62,hierarchical_manifest,True,174,5,0.6499999999999999,256,256,0.020290511844738384,-0.01045926809321252,0.00019160691827312272,0.020290511844738384
62,complete_global_manifest,True,174,5,0.6499999999999999,256,256,0.020290511844738384,-0.01045926809321252,0.00019160691827312272,0.020290511844738384
63,winner_only,False,247,7,0.85,1,256,0.010624161156149186,-0.00946748451402496,0.05896289473826401,0.010624161156149186
63,selected_family_only,False,247,7,0.85,32,256,0.010624161156149186,-0.00946748451402496,0.05896289473826401,0.010624161156149186
63,hierarchical_manifest,False,247,7,0.85,256,256,0.010624161156149186,-0.00946748451402496,0.05896289473826401,0.010624161156149186
63,complete_global_manifest,False,247,7,0.85,256,256,0.010624161156149186,-0.00946748451402496,0.05896289473826401,0.010624161156149186
64,winner_only,True,79,2,0.35,1,256,0.020027984226653035,-0.0026777196883664488,0.00041609132830863147,0.020027984226653035
64,selected_family_only,True,79,2,0.35,32,256,0.020027984226653035,-0.0026777196883664488,0.00041609132830863147,0.020027984226653035
64,hierarchical_manifest,False,79,2,0.35,256,256,0.020027984226653035,-0.0026777196883664488,0.00041609132830863147,0.020027984226653035
64,complete_global_manifest,False,79,2,0.35,256,256,0.020027984226653035,-0.0026777196883664488,0.00041609132830863147,0.020027984226653035
65,winner_only,True,45,1,0.25,1,256,0.014875052565737686,0.001968293659571547,0.005972021012669762,0.014875052565737686
65,selected_family_only,False,45,1,0.25,32,256,0.014875052565737686,0.001968293659571547,0.005972021012669762,0.014875052565737686
65,hierarchical_manifest,False,45,1,0.25,256,256,0.014875052565737686,0.001968293659571547,0.005972021012669762,0.014875052565737686
65,complete_global_manifest,False,45,1,0.25,256,256,0.014875052565737686,0.001968293659571547,0.005972021012669762,0.014875052565737686
66,winner_only,True,231,7,0.85,1,256,0.019274754315868954,1.937167444625633e-05,0.0006844758578512203,0.019274754315868954
66,selected_family_only,True,231,7,0.85,32,256,0.019274754315868954,1.937167444625633e-05,0.0006844758578512203,0.019274754315868954
66,hierarchical_manifest,False,231,7,0.85,256,256,0.019274754315868954,1.937167444625633e-05,0.0006844758578512203,0.019274754315868954
66,complete_global_manifest,False,231,7,0.85,256,256,0.019274754315868954,1.937167444625633e-05,0.0006844758578512203,0.019274754315868954
67,winner_only,True,80,2,0.35,1,256,0.01457083994284999,0.01730676242600256,0.010088266056333502,0.01457083994284999
67,selected_family_only,False,80,2,0.35,32,256,0.01457083994284999,0.01730676242600256,0.010088266056333502,0.01457083994284999
67,hierarchical_manifest,False,80,2,0.35,256,256,0.01457083994284999,0.01730676242600256,0.010088266056333502,0.01457083994284999
67,complete_global_manifest,False,80,2,0.35,256,256,0.01457083994284999,0.01730676242600256,0.010088266056333502,0.01457083994284999
68,winner_only,True,48,1,0.25,1,256,0.015601860360529605,0.0025165262388321162,0.0060630786008836115,0.015601860360529605
68,selected_family_only,False,48,1,0.25,32,256,0.015601860360529605,0.0025165262388321162,0.0060630786008836115,0.015601860360529605
68,hierarchical_manifest,False,48,1,0.25,256,256,0.015601860360529605,0.0025165262388321162,0.0060630786008836115,0.015601860360529605
68,complete_global_manifest,False,48,1,0.25,256,256,0.015601860360529605,0.0025165262388321162,0.0060630786008836115,0.015601860360529605
69,winner_only,True,193,6,0.75,1,256,0.01304077492367651,-0.011911385065929217,0.012004349571512666,0.01304077492367651
69,selected_family_only,False,193,6,0.75,32,256,0.01304077492367651,-0.011911385065929217,0.012004349571512666,0.01304077492367651
69,hierarchical_manifest,False,193,6,0.75,256,256,0.01304077492367651,-0.011911385065929217,0.012004349571512666,0.01304077492367651
69,complete_global_manifest,False,193,6,0.75,256,256,0.01304077492367651,-0.011911385065929217,0.012004349571512666,0.01304077492367651
70,winner_only,True,76,2,0.35,1,256,0.014413421802889551,-0.00889665744296156,0.010255729055688195,0.014413421802889551
70,selected_family_only,False,76,2,0.35,32,256,0.014413421802889551,-0.00889665744296156,0.010255729055688195,0.014413421802889551
70,hierarchical_manifest,False,76,2,0.35,256,256,0.014413421802889551,-0.00889665744296156,0.010255729055688195,0.014413421802889551
70,complete_global_manifest,False,76,2,0.35,256,256,0.014413421802889551,-0.00889665744296156,0.010255729055688195,0.014413421802889551
71,winner_only,True,63,1,0.25,1,256,0.01557916945107379,0.01588373421108622,0.0023381948519100777,0.01557916945107379
71,selected_family_only,False,63,1,0.25,32,256,0.01557916945107379,0.01588373421108622,0.0023381948519100777,0.01557916945107379
71,hierarchical_manifest,False,63,1,0.25,256,256,0.01557916945107379,0.01588373421108622,0.0023381948519100777,0.01557916945107379
71,complete_global_manifest,False,63,1,0.25,256,256,0.01557916945107379,0.01588373421108622,0.0023381948519100777,0.01557916945107379
72,winner_only,True,135,4,0.5499999999999999,1,256,0.01707927070487998,0.01966872547620126,0.0012921592437472795,0.01707927070487998
72,selected_family_only,True,135,4,0.5499999999999999,32,256,0.01707927070487998,0.01966872547620126,0.0012921592437472795,0.01707927070487998
72,hierarchical_manifest,False,135,4,0.5499999999999999,256,256,0.01707927070487998,0.01966872547620126,0.0012921592437472795,0.01707927070487998
72,complete_global_manifest,False,135,4,0.5499999999999999,256,256,0.01707927070487998,0.01966872547620126,0.0012921592437472795,0.01707927070487998
73,winner_only,True,85,2,0.35,1,256,0.015691255110553574,-0.009026547967317448,0.002997193339109873,0.015691255110553574
